cafe_account_id,month,bags_ordered
CAFE-030,2026-08,29
CAFE-031,2026-04,52
CAFE-031,2026-05,51
CAFE-031,2026-06,59
CAFE-031,2026-07,59
CAFE-031,2026-08,60
CAFE-032,2026-04,61
CAFE-032,2026-05,54
CAFE-032,2026-06,54
CAFE-032,2026-07,59
CAFE-032,2026-08,56
CAFE-033,2026-04,55
CAFE-033,2026-05,57
CAFE-033,2026-06,58
CAFE-033,2026-07,49
CAFE-033,2026-08,50
CAFE-034,2026-04,21
CAFE-034,2026-05,25
CAFE-034,2026-06,21
CAFE-034,2026-07,24
CAFE-034,2026-08,24
CAFE-035,2026-04,56
CAFE-035,2026-05,62
CAFE-035,2026-06,52
CAFE-035,2026-07,52
CAFE-035,2026-08,66
CAFE-036,2026-04,45
CAFE-036,2026-05,42
CAFE-036,2026-06,47
CAFE-036,2026-07,51
CAFE-036,2026-08,43
CAFE-037,2026-04,27
CAFE-037,2026-05,23
CAFE-037,2026-06,23
CAFE-037,2026-07,26
CAFE-037,2026-08,26
CAFE-038,2026-04,96
CAFE-038,2026-05,98
CAFE-038,2026-06,105
CAFE-038,2026-07,92
CAFE-038,2026-08,87
CAFE-039,2026-04,99
CAFE-039,2026-05,85
CAFE-039,2026-06,89
CAFE-039,2026-07,79
CAFE-039,2026-08,78
CAFE-040,2026-04,35
CAFE-040,2026-05,34
CAFE-040,2026-06,33
CAFE-040,2026-07,30
CAFE-040,2026-08,28
CAFE-041,2026-04,48
CAFE-041,2026-05,49
CAFE-041,2026-06,54
CAFE-041,2026-07,56
CAFE-041,2026-08,56
CAFE-042,2026-04,49
CAFE-042,2026-05,59
CAFE-042,2026-06,56
CAFE-042,2026-07,53
CAFE-042,2026-08,54
CAFE-043,2026-04,65
CAFE-043,2026-05,62
CAFE-043,2026-06,64
CAFE-043,2026-07,72
CAFE-043,2026-08,57
CAFE-044,2026-04,37
CAFE-044,2026-05,36
CAFE-044,2026-06,36
CAFE-044,2026-07,46
CAFE-044,2026-08,45
CAFE-045,2026-04,80
CAFE-045,2026-05,71
CAFE-045,2026-06,81
CAFE-045,2026-07,80
CAFE-045,2026-08,73
CAFE-046,2026-04,55
CAFE-046,2026-05,54
CAFE-046,2026-06,58
CAFE-046,2026-07,58
CAFE-046,2026-08,48
CAFE-047,2026-04,61
CAFE-047,2026-05,65
CAFE-047,2026-06,63
CAFE-047,2026-07,70
CAFE-047,2026-08,66
CAFE-048,2026-04,49
CAFE-048,2026-05,47
CAFE-048,2026-06,56
CAFE-048,2026-07,46
CAFE-048,2026-08,55
CAFE-049,2026-04,95
CAFE-049,2026-05,86
CAFE-049,2026-06,81
CAFE-049,2026-07,88
CAFE-049,2026-08,83
CAFE-050,2026-04,67
CAFE-050,2026-05,75
CAFE-050,2026-06,64
CAFE-050,2026-07,75
CAFE-050,2026-08,74
