cafe_account_id,month,bags_ordered
CAFE-030,2026-04,26
CAFE-030,2026-05,24
CAFE-030,2026-06,27
CAFE-030,2026-07,29
CAFE-030,2026-08,25
CAFE-031,2026-03,56
CAFE-031,2026-04,47
CAFE-031,2026-05,47
CAFE-031,2026-06,55
CAFE-031,2026-07,55
CAFE-031,2026-08,56
CAFE-032,2026-03,58
CAFE-032,2026-04,62
CAFE-032,2026-05,54
CAFE-032,2026-06,51
CAFE-032,2026-07,59
CAFE-032,2026-08,50
CAFE-033,2026-03,51
CAFE-033,2026-04,45
CAFE-033,2026-05,45
CAFE-033,2026-06,59
CAFE-033,2026-07,57
CAFE-033,2026-08,55
CAFE-034,2026-03,23
CAFE-034,2026-04,22
CAFE-034,2026-05,22
CAFE-034,2026-06,22
CAFE-034,2026-07,24
CAFE-034,2026-08,26
CAFE-035,2026-03,63
CAFE-035,2026-04,56
CAFE-035,2026-05,68
CAFE-035,2026-06,64
CAFE-035,2026-07,61
CAFE-035,2026-08,62
CAFE-036,2026-03,46
CAFE-036,2026-04,43
CAFE-036,2026-05,45
CAFE-036,2026-06,51
CAFE-036,2026-07,40
CAFE-036,2026-08,42
CAFE-037,2026-03,22
CAFE-037,2026-04,22
CAFE-037,2026-05,29
CAFE-037,2026-06,28
CAFE-037,2026-07,26
CAFE-037,2026-08,23
CAFE-038,2026-03,92
CAFE-038,2026-04,91
CAFE-038,2026-05,83
CAFE-038,2026-06,90
CAFE-038,2026-07,89
CAFE-038,2026-08,95
CAFE-039,2026-03,95
CAFE-039,2026-04,79
CAFE-039,2026-05,88
CAFE-039,2026-06,94
CAFE-039,2026-07,91
CAFE-039,2026-08,101
CAFE-040,2026-03,32
CAFE-040,2026-04,28
CAFE-040,2026-05,27
CAFE-040,2026-06,32
CAFE-040,2026-07,27
CAFE-040,2026-08,32
CAFE-041,2026-03,60
CAFE-041,2026-04,54
CAFE-041,2026-05,51
CAFE-041,2026-06,55
CAFE-041,2026-07,52
CAFE-041,2026-08,54
CAFE-042,2026-03,59
CAFE-042,2026-04,50
CAFE-042,2026-05,59
CAFE-042,2026-06,58
CAFE-042,2026-07,47
CAFE-042,2026-08,45
CAFE-043,2026-03,59
CAFE-043,2026-04,57
CAFE-043,2026-05,59
CAFE-043,2026-06,71
CAFE-043,2026-07,58
CAFE-043,2026-08,63
CAFE-044,2026-03,46
CAFE-044,2026-04,36
CAFE-044,2026-05,46
CAFE-044,2026-06,39
CAFE-044,2026-07,37
CAFE-044,2026-08,44
CAFE-045,2026-03,84
CAFE-045,2026-04,90
CAFE-045,2026-05,87
CAFE-045,2026-06,88
CAFE-045,2026-07,76
CAFE-045,2026-08,73
CAFE-046,2026-03,60
CAFE-046,2026-04,61
CAFE-046,2026-05,64
CAFE-046,2026-06,55
CAFE-046,2026-07,54
CAFE-046,2026-08,61
CAFE-047,2026-03,60
CAFE-047,2026-04,71
CAFE-047,2026-05,70
CAFE-047,2026-06,62
CAFE-047,2026-07,68
CAFE-047,2026-08,68
CAFE-048,2026-03,48
CAFE-048,2026-04,61
CAFE-048,2026-05,54
CAFE-048,2026-06,59
CAFE-048,2026-07,51
CAFE-048,2026-08,60
CAFE-049,2026-03,81
CAFE-049,2026-04,72
CAFE-049,2026-05,94
CAFE-049,2026-06,74
CAFE-049,2026-07,79
CAFE-049,2026-08,95
CAFE-050,2026-03,75
CAFE-050,2026-04,67
CAFE-050,2026-05,69
CAFE-050,2026-06,65
CAFE-050,2026-07,62
CAFE-050,2026-08,63
